Variable,Distribution,Distribution_Initial,Fallback_occurred,Fallback_reason,SE_type,SE_rationale,Dispersion,p_dispersion,Alpha,Alpha_pvalue,Alpha_SE,Length_Model,AIC,AIC_offset,AIC_predictor,AIC_predictor+int,ΔAIC_offset,ΔAIC_predictor,ΔAIC_predictor+int,β_length,SE_length,p_length_vs_1,p_len_x_reg,p_len_x_sex,β_len_x_reg,β_len_x_sex,SE_len_x_reg,SE_len_x_sex,has_sig_reg_unadj,has_sig_sex_unadj,n_outliers,pct_outliers,converged,n_obs,zero_inflated,zero_diagnostics,pct_zeros,CLD_vcov_type,p_len_x_reg_adj,has_sig_reg,p_len_x_sex_adj,has_sig_sex
has_nag-i,NB,NB,False,,NB-MLE,Overdispersion-adjusted,6.119667001879667,0.0,1.3860564711976873,5.223108567005128e-32,0.11770719893136963,predictor+int,2783.231747711569,2912.9528598648667,2886.0732729032025,2783.231747711569,129.72111215329778,102.84152519163354,0.0,2.1344672739935233,0.23163800750316568,9.702072578665621e-07,7.0116077423052045e-09,7.882329001559869e-09,"{'reg1': np.float64(-0.013738623726554804), 'reg2': np.float64(1.5890187116377787)}",-1.2308648744831208,"{'reg1': np.float64(0.1867383850409563), 'reg2': np.float64(0.27441128657375646)}",0.21328614894149991,True,True,17,2.1223470661672907,True,801,False,"{'pct_zeros': np.float64(55.93008739076155), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",55.9,NB-MLE,6.310446968074684e-08,True,2.1282288304211646e-07,True
ct_lp,NB,NB,False,,NB-MLE,Overdispersion-adjusted,2.6365697577510603,0.0,0.20933792109508062,9.251453456729743e-27,0.019548143114120477,predictor+int,3969.436181001332,4110.17275154705,3979.503754940102,3969.436181001332,140.73657054571822,10.067573938770238,0.0,0.29756263475148337,0.07587084727348022,0.0,0.0018651195987334263,0.011764060915595082,"{'reg1': np.float64(0.2542177257922853), 'reg2': np.float64(0.24796422141317534)}",0.1548925229714377,"{'reg1': np.float64(0.08171813060624096), 'reg2': np.float64(0.09237848141205722)}",0.06148617813128769,True,True,12,1.4981273408239701,True,801,False,"{'pct_zeros': np.float64(5.118601747815231), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",5.1,NB-MLE,0.002962248774458971,True,0.03529218274678525,True
has_nag-d,Poisson,Poisson,False,,HC3,Heteroscedasticity-robust,1.2165295241654641,2.388720700319258e-05,,,,predictor+int,4489.887324947376,4676.903383025596,4490.0345598183585,4489.887324947376,187.01605807821943,0.14723487098217447,0.0,1.1033264785277086,0.020538716467548464,4.883997837268339e-07,0.03059178300610306,0.5656958510168018,"{'reg1': np.float64(0.04290247334123398), 'reg2': np.float64(0.06362338956643582)}",0.011129091258769694,"{'reg1': np.float64(0.030886017389140066), 'reg2': np.float64(0.029423363032757888)}",0.01937509396622596,True,False,10,1.2484394506866416,True,801,False,"{'pct_zeros': np.float64(0.4993757802746567), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': False}",0.5,HC3,0.03441575588186595,True,0.7636893988726824,False
belief,NB,NB,False,,NB-MLE,Overdispersion-adjusted,5.21295549011594,0.0,1.5043767252262303,4.663367966461891e-37,0.11828194027680684,predictor,3001.427114173954,3003.00553555471,3001.427114173954,3002.620794100989,1.5784213807560263,0.0,1.1936799270347365,1.161817842327977,0.08673196106013771,0.06208008528670694,,,{},,{},,False,False,11,1.373283395755306,True,801,False,"{'pct_zeros': np.float64(42.94631710362047), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",42.9,NB-MLE,,False,,False
ct_rb.sm,NB,NB,False,,NB-MLE,Overdispersion-adjusted,2.7932757159772854,0.0,1.4243582916851092,5.598726950461978e-20,0.15563677841465048,offset,2140.822695106561,2140.822695106561,2142.481695511275,2144.008206901087,0.0,1.6590004047143339,3.1855117945260645,1.0,0.0,,,,{},,{},,False,False,15,1.8726591760299627,True,801,False,"{'pct_zeros': np.float64(56.803995006242204), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",56.8,NB-MLE,,False,,False
ct_st,NB,NB,False,,NB-MLE,Overdispersion-adjusted,2.6540623395875045,0.0,0.25219199639697665,2.894303596759628e-23,0.025380923272315857,predictor+int,3189.428103685129,3267.651285792529,3267.579369614788,3189.428103685129,78.22318210740013,78.15126592965908,0.0,1.1717156070598207,0.09307454192326503,0.0650483590635702,1.4856722532764922e-10,0.003333917017361833,"{'reg1': np.float64(-0.08923156306350934), 'reg2': np.float64(0.7942550762393698)}",-0.25035966579672164,"{'reg1': np.float64(0.08135000960133687), 'reg2': np.float64(0.12396987564524452)}",0.085297201215717,True,True,9,1.1235955056179776,True,801,False,"{'pct_zeros': np.float64(30.96129837702871), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",31.0,NB-MLE,4.011315083846529e-09,True,0.011251969933596187,True
nt_co.us,NB,NB,False,,NB-MLE,Overdispersion-adjusted,2.0511857469817656,0.0,0.40257010780095437,8.246433358665882e-19,0.045454058487221324,predictor+int,2866.3272680569944,2871.340814963408,2871.1497892180105,2866.3272680569944,5.013546906413467,4.822521161016084,0.0,1.1918133225726002,0.11074946159514842,0.0832811909383655,0.004706544495745529,0.21640895219759382,"{'reg1': np.float64(-0.3743344886914711), 'reg2': np.float64(-0.356027281020124)}",-0.10256976624181335,"{'reg1': np.float64(0.13243928068500668), 'reg2': np.float64(0.13706183220022167)}",0.08297628693621976,True,False,12,1.4981273408239701,True,801,False,"{'pct_zeros': np.float64(24.594257178526842), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",24.6,NB-MLE,0.006051271494529965,True,0.38953611395566884,False
count_qr.*,NB,NB,False,,NB-MLE,Overdispersion-adjusted,5.195833591519319,0.0,0.9832423338476337,1.141980720491098e-26,0.09198356866940557,predictor+int,2407.8549177128684,2530.566267261583,2475.5091114000334,2407.8549177128684,122.71134954871468,67.65419368716493,0.0,1.937691194275206,0.21923740424836818,1.8937908426108763e-05,2.5931982764492357e-08,8.041886441329737e-05,"{'reg1': np.float64(0.08181991194012404), 'reg2': np.float64(1.463662477174503)}",-0.8017219852994603,"{'reg1': np.float64(0.16790408708734103), 'reg2': np.float64(0.26292263532335397)}",0.20332026789854943,True,True,17,2.1223470661672907,True,801,False,"{'pct_zeros': np.float64(57.30337078651685), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",57.3,NB-MLE,1.4003270692825873e-07,True,0.0005428273347897573,True
nt_nc,Poisson,Poisson,False,,HC3,Heteroscedasticity-robust,0.8620176258481973,0.9980065522550762,,,,predictor+int,3903.7440191939904,4083.6033468569085,3913.3612931718035,3903.7440191939904,179.85932766291808,9.617273977813056,0.0,1.0954720003640426,0.03019221117121363,0.0015661421860952984,0.006106766583639137,0.404138109425082,"{'reg1': np.float64(0.08186064890931083), 'reg2': np.float64(0.12534100158372324)}",0.021895006764176897,"{'reg1': np.float64(0.03154901992327815), 'reg2': np.float64(0.045711643756644715)}",0.026245026144517965,True,False,7,0.8739076154806492,True,801,False,"{'pct_zeros': np.float64(1.1235955056179776), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': False}",1.1,HC3,0.007494668079920759,True,0.6012445143259859,False
has_iag-d,NB,NB,False,,NB-MLE,Overdispersion-adjusted,1.5704123760710158,0.0,0.04187834725567422,6.888041392866418e-17,0.005016009854693646,predictor+int,4359.355365070434,4388.786606989421,4388.694635911574,4359.355365070434,29.431241918986416,29.339270841139296,0.0,0.8849969509324307,0.03964657554023959,0.0037232333649257487,5.915146041512772e-05,0.05031985033194413,"{'reg1': np.float64(0.17082285323578802), 'reg2': np.float64(-0.09422228189744204)}",0.06502887943759864,"{'reg1': np.float64(0.04253376490022554), 'reg2': np.float64(0.05346724819475964)}",0.03322487119523051,True,False,2,0.24968789013732834,True,801,False,"{'pct_zeros': np.float64(1.1235955056179776), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",1.1,NB-MLE,0.00012357275980718374,True,0.12351235990568106,False
