Variable,0-f,0-m,1-f,1-m,2-f,2-m
has_nag-i,b,a,a,a,a,a
ct_lp,e,d,c,b,b,a
has_nag-d,a,a,b,b,a,a
belief,a,b,a,a,a,a
ct_rb.sm,d,e,c,d,a,b
ct_st,ab,a,ab,b,ab,ab
nt_co.us,b,b,b,b,a,b
count_qr.*,a,a,a,a,a,a
nt_nc,a,a,a,a,a,a
has_iag-d,a,a,a,a,a,a
ct_ra,a,a,b,b,b,b
ct_ei,a,a,a,a,a,a
ct_sn,a,a,a,a,a,a
has_iag-o,a,a,a,a,a,a
ct_ea,c,d,b,c,a,b
nt_cg.pc,a,a,a,a,a,a
nt_co.er,a,a,b,b,b,b
has_nag-n,a,a,a,a,a,a
ct_ho,a,a,a,a,b,b
nt_cg.kc,a,a,a,a,a,a
has_iag-g,a,a,a,a,a,a
ct_bs,a,a,a,a,b,b
nt_co.dr,a,a,a,a,a,a
ct_ms,a,a,a,a,a,a
nt_co.iq,a,a,a,a,a,a
ct_rb,b,b,a,b,b,b
nt_co.Q,a,a,a,a,a,a
has_iag-i,a,a,a,a,a,a
nt_ta.lp,a,a,a,a,a,a
ct_bn,a,a,a,a,a,a
ct_rb.st,a,a,a,a,a,a
nt_ta.ed,a,a,a,a,b,a
nt_cg.bo,a,a,a,a,a,a
ct_cm,a,a,a,a,a,a
ct_rb.th,a,a,a,a,a,a
nt_cg.iv,a,a,a,a,a,a
nt_co.ro,a,a,a,a,a,a
nt_ta.wd,a,a,a,a,a,a
nt_cg.rc,a,a,a,a,a,a
