deposition_code,sex,register,register_label
T14-001,m,0,T14
T14-002-001,f,0,T14
T14-002-002,f,0,T14
T14-002-003,f,0,T14
T14-003-001,f,0,T14
T14-003-002,f,0,T14
T14-004,m,0,T14
T14-004.1,m,0,T14
T14-004.2,m,0,T14
T14-004.3,m,0,T14
T14-004.4,m,0,T14
T14-004.5,m,0,T14
T14-004.6,m,0,T14
T14-004.7,m,0,T14
T14-005-001,m,0,T14
T14-005-002,m,0,T14
T14-006,m,0,T14
T14-007-001,m,0,T14
T14-007-002,m,0,T14
T14-008-001,m,0,T14
T14-008-002,m,0,T14
T14-009-001,m,0,T14
T14-009-002,m,0,T14
T14-010-001,m,0,T14
T14-010-002,m,0,T14
T14-011,m,0,T14
T14-012-001,m,0,T14
T14-012-002,m,0,T14
T14-012-003,m,0,T14
T14-012-004,m,0,T14
T14-013,m,0,T14
T14-014,m,0,T14
T14-015-001,f,0,T14
T14-015-002,f,0,T14
T14-015-003,f,0,T14
T14-016-001,f,0,T14
T14-016-002,f,0,T14
T14-016-003,f,0,T14
T14-017-001,f,0,T14
T14-017-002,f,0,T14
T14-017-003,f,0,T14
T14-018-001,f,0,T14
T14-018-002,f,0,T14
T14-019,m,0,T14
T14-020,m,0,T14
T14-021,m,0,T14
T14-022,m,0,T14
T14-023,f,0,T14
T14-024-001,m,0,T14
T14-024-002,m,0,T14
T14-024-003,m,0,T14
T14-025-001,f,0,T14
T14-025-002,f,0,T14
T14-025-003,f,0,T14
T14-025-004,f,0,T14
T14-025-005,f,0,T14
T14-026-001,m,0,T14
T14-026-002,m,0,T14
T14-026-003,m,0,T14
T14-026-004,m,0,T14
T14-026-005,m,0,T14
T14-026-006,m,0,T14
T14-027-001,m,0,T14
T14-027-002,m,0,T14
T14-027-003,m,0,T14
T14-028-001,m,0,T14
T14-028-002,m,0,T14
T14-029-001,m,0,T14
T14-029-002,m,0,T14
T14-029-003,m,0,T14
T14-029-004,m,0,T14
T14-030,m,0,T14
T14-031,m,0,T14
T14-032,m,0,T14
T14-033-001,m,0,T14
T14-033-002,m,0,T14
T14-033-003,m,0,T14
T14-033-004,m,0,T14
T14-034-001,m,0,T14
T14-034-002,m,0,T14
T14-034-003,m,0,T14
T14-035-001,m,0,T14
T14-035-002,m,0,T14
T14-036,f,0,T14
T14-037-001,m,0,T14
T14-037-002,m,0,T14
T14-037-003,m,0,T14
T14-038,m,0,T14
T14-039-001,f,0,T14
T14-039-002,f,0,T14
T14-039-003,f,0,T14
T14-040,m,0,T14
T14-041,f,0,T14
T14-042-001,m,0,T14
T14-042-002,m,0,T14
T14-043-001,m,0,T14
T14-043-002,m,0,T14
T14-044-001,m,0,T14
T14-044-002,m,0,T14
T14-044-003,m,0,T14
T14-045,m,0,T14
T14-046-001,m,0,T14
T14-046-002,m,0,T14
T14-047,m,0,T14
T14-048-001,f,0,T14
T14-048-002,f,0,T14
T14-049,m,0,T14
T14-050,m,0,T14
T14-051,m,0,T14
T14-052,m,0,T14
T14-053-002,m,0,T14
T14-054-001,m,0,T14
T14-054-002,m,0,T14
T14-054-003,m,0,T14
T14-054-004,m,0,T14
T14-055,m,0,T14
T14-056,m,0,T14
T14-057,m,0,T14
T14-058-003,m,0,T14
T14-058-004,m,0,T14
T14-058-005,m,0,T14
T14-058-006,m,0,T14
T14-058-007,m,0,T14
T14-058-008,m,0,T14
T14-058-009,m,0,T14
T14-058-010,m,0,T14
T14-058-011,m,0,T14
T14-059,f,0,T14
T14-060,m,0,T14
T14-061-001,m,0,T14
T14-061-002,m,0,T14
T14-061-003,m,0,T14
T14-062-001,m,0,T14
T14-062-002,m,0,T14
T14-062-003,m,0,T14
T14-062-004,m,0,T14
T14-062-005,m,0,T14
T14-062-006,m,0,T14
T14-062-007,m,0,T14
T14-062-008,m,0,T14
T14-063-001,m,0,T14
T14-063-002,m,0,T14
T14-064-001,m,0,T14
T14-064-002,m,0,T14
T14-064-003,m,0,T14
T14-065-001,f,0,T14
T14-065-002,f,0,T14
T14-066,m,0,T14
T14-067,m,0,T14
T14-068-001,m,0,T14
T14-068-002,m,0,T14
T14-068-003,m,0,T14
T14-068-004,m,0,T14
T14-068-005,m,0,T14
T14-068-006,m,0,T14
T14-068-007,m,0,T14
T14-068-008,m,0,T14
T14-068-009,m,0,T14
T14-068-010,m,0,T14
T14-068-011,m,0,T14
T14-068-012,m,0,T14
T14-069-001,m,0,T14
T14-069-002,m,0,T14
T14-070,m,0,T14
T14-071,m,0,T14
T14-072,m,0,T14
T14-073,m,0,T14
T14-074-001,m,0,T14
T14-074-002,m,0,T14
T14-074-003,m,0,T14
T14-074-004,m,0,T14
T14-074-005,m,0,T14
T14-074-006,m,0,T14
