Variable,Group,EMM,SE,CI_Lower,CI_Upper,CLD
ct_ra,0-f,2.7269782670650287,0.40161204641185694,2.0432528696530445,3.639495913351014,a
ct_ra,0-m,2.187424861726923,0.2240083517590376,1.7896325158094588,2.673636896643471,a
ct_ra,1-f,1.1463721015725332,0.1873881015628695,0.8321212860750313,1.579299817533245,b
ct_ra,1-m,0.9195536561678448,0.10774049457242077,0.7308784045432793,1.1569351636542706,b
ct_ra,2-f,0.5333722909946169,0.14595391230410024,0.3119640845558787,0.9119190794217512,b
ct_ra,2-m,0.42784052369202474,0.10827806982625032,0.2605310275888117,0.7025939113937877,b
ct_rb,0-f,0.3794031768063255,0.1083254189390434,0.2168052942046325,0.6639449054914094,a
ct_rb,0-m,0.25839290038380247,0.053119191875577114,0.1727008934719316,0.3866042012087508,a
ct_rb,1-f,0.9564067320917243,0.2822731441355182,0.5363146476977618,1.7055544559839342,a
ct_rb,1-m,0.6513617295775234,0.10422303532566224,0.4760178627054106,0.891294499636852,a
ct_rb,2-f,0.10956687184877259,0.035127419650421605,0.058449643748550766,0.2053887523826527,b
ct_rb,2-m,0.07462062400557298,0.025492429475315017,0.03820017371073476,0.1457647174367782,b
ct_rb.st,0-f,0.566113189219064,0.14573329275552457,0.3418064884342901,0.9376186639282905,a
ct_rb.st,0-m,0.5999546463647761,0.11441658397389493,0.4128448415103366,0.8718664774346502,a
ct_rb.st,1-f,0.8657022274718914,0.22849923995373145,0.5160558465531296,1.4522465962850728,a
ct_rb.st,1-m,0.9174526996210236,0.15142862403799262,0.663880684235312,1.2678776111876715,a
ct_rb.st,2-f,0.5356085528584266,0.13340126125059476,0.3287328636078568,0.8726736923914943,a
ct_rb.st,2-m,0.5676264853737232,0.14022739275225948,0.3497682658796489,0.9211808455161303,a
ct_rb.sm,0-f,0.8041837387445784,0.15371554452419414,0.5529075667172373,1.1696556976076677,c
ct_rb.sm,0-m,0.5232013710433215,0.07980057014765715,0.38800786391053477,0.7055003264694892,c
ct_rb.sm,1-f,0.8634632235204339,0.1711778658544001,0.5854594283655459,1.2734763542090994,c
ct_rb.sm,1-m,0.5617685618670101,0.08314753940539561,0.4203110679271295,0.750834182546062,c
ct_rb.sm,2-f,3.509859281629272,0.8542407040105766,2.178319447625086,5.655328556273079,a
ct_rb.sm,2-m,2.2835119635524253,0.46811019595077513,1.5279551681656658,3.412683170506275,b
ct_rb.th,0-f,0.4996527637167149,0.20182459747249978,0.2263824203616999,1.1027927163729025,a
ct_rb.th,0-m,0.4569973853213911,0.1372716386286746,0.25364838289009095,0.8233705565593293,a
ct_rb.th,1-f,0.5024731371138893,0.22619639171519962,0.20793650360576826,1.2142132292449948,a
ct_rb.th,1-m,0.45957698331770974,0.1211842797426006,0.27409925318509193,0.7705639513464172,a
ct_rb.th,2-f,0.11367090825414117,0.055270074706180235,0.04382991060046093,0.2948004047077727,a
ct_rb.th,2-m,0.10396681782131101,0.0451721402937476,0.04436694112274047,0.24362957946518027,a
has_nag-d,0-f,26.865193892957684,0.6857187000476271,25.554273996838003,28.243363243092578,a
has_nag-d,0-m,26.41149574452325,0.4409934766921347,25.56115425799132,27.290125493643767,a
has_nag-d,1-f,21.889199774006244,0.6818692183010637,20.59274084375235,23.26727997898934,b
has_nag-d,1-m,21.519535983461953,0.545680837195939,20.476163607279524,22.616073881089697,b
has_nag-d,2-f,25.182928811843293,0.856424293305963,23.559087537043766,26.918695494687444,a
has_nag-d,2-m,24.75764067807388,0.7386718233421944,23.351388431727123,26.248579339797484,a
has_nag-i,0-f,1.9141212607356874,0.3002833289065453,1.407455700109472,2.603179766521534,b
has_nag-i,0-m,2.8999589029978003,0.32173231329928703,2.3332235580245007,3.60435313202332,a
has_nag-i,1-f,5.090351642107336,0.7946468841326491,3.7485907949632735,6.91237887985016,a
has_nag-i,1-m,7.7120561098856255,0.7283035087833325,6.408925943500036,9.280152394699591,a
has_nag-i,2-f,4.810110748432715,1.2257300726863258,2.9190986683592275,7.926133385958111,a
has_nag-i,2-m,7.287481611254636,1.5391104222369567,4.817307520244358,11.024288570159744,a
has_nag-n,0-f,4.548226980496927,0.21446253530929685,4.1467268226078975,4.988601745680087,a
has_nag-n,0-m,4.292855886345516,0.18348278632463205,3.9478872473737834,4.667968081710147,a
has_nag-n,1-f,5.707583159396358,0.2685586156698757,5.2047599680572345,6.258983261736207,a
has_nag-n,1-m,5.387117236603744,0.2064553537701437,4.997295861342318,5.807347198594291,a
has_nag-n,2-f,5.099493728370605,0.2187497026983685,4.688280815381556,5.546774459493364,a
has_nag-n,2-m,4.8131704426998505,0.22792350959877983,4.38655249092505,5.281279491903225,a
has_iag-d,0-f,17.123411640522523,0.63313532119282,15.926386847674058,18.41040463321433,a
has_iag-d,0-m,17.00091774213188,0.46271618642225637,16.1177755291232,17.93245001783802,a
has_iag-d,1-f,15.703571032460177,0.5923631078579564,14.584440669297964,16.908577350563068,a
has_iag-d,1-m,15.59123409430772,0.4063708968989802,14.814763478169782,16.40840104816405,a
has_iag-d,2-f,14.578701721117072,0.8087129189812515,13.076779866499495,16.25312546690411,a
has_iag-d,2-m,14.474411638931118,0.6904564183360774,13.182476900093206,15.892961078637907,a
