Variable,Distribution,Distribution_Initial,Fallback_occurred,Fallback_reason,SE_type,SE_rationale,Dispersion,p_dispersion,Alpha,Alpha_pvalue,Alpha_SE,Length_Model,AIC,AIC_offset,AIC_predictor,AIC_predictor+int,ΔAIC_offset,ΔAIC_predictor,ΔAIC_predictor+int,β_length,SE_length,p_length_vs_1,p_len_x_reg,p_len_x_sex,β_len_x_reg,β_len_x_sex,SE_len_x_reg,SE_len_x_sex,has_sig_reg_unadj,has_sig_sex_unadj,n_outliers,pct_outliers,converged,n_obs,zero_inflated,zero_diagnostics,pct_zeros,CLD_vcov_type,p_len_x_reg_adj,has_sig_reg,p_len_x_sex_adj,has_sig_sex
has_nag-i,NB,NB,False,,NB-MLE,Overdispersion-adjusted,6.2204268217109195,0.0,1.3722319011488455,6.536080605654133e-32,0.11672076162667189,predictor+int,2782.0099984510275,2905.0826859846866,2877.200419356069,2782.0099984510275,123.07268753365906,95.19042090504126,0.0,2.1718536366837387,0.2289179057348038,3.0699726027982877e-07,7.482048922084047e-08,6.02517140301816e-09,"{'reg1': np.float64(-0.05990814526584937), 'reg2': np.float64(1.4295454478420053)}",-1.217396550818245,"{'reg1': np.float64(0.18578454538002287), 'reg2': np.float64(0.26575463332913835)}",0.209316453791934,True,True,17,2.1223470661672907,True,801,False,"{'pct_zeros': np.float64(55.80524344569289), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",55.8,NB-MLE,4.1899473963670663e-07,True,1.6870479928450848e-07,True
has_nag-d,Poisson,Poisson,False,,HC3,Heteroscedasticity-robust,1.2318198899370356,7.3343683999471665e-06,,,,predictor+int,4511.225582284875,4697.54339656944,4512.196208663001,4511.225582284875,186.31781428456543,0.970626378126326,0.0,1.1005711052258809,0.021693290592541874,3.551360052700403e-06,0.02329397731788072,0.5628503732910429,"{'reg1': np.float64(0.04568834871022766), 'reg2': np.float64(0.06730832415977356)}",0.011722419177840112,"{'reg1': np.float64(0.02992452699380703), 'reg2': np.float64(0.029669825216214498)}",0.020259517929719483,True,False,14,1.7478152309612984,True,801,False,"{'pct_zeros': np.float64(0.4993757802746567), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': False}",0.5,HC3,0.02755895966587079,True,0.7317708889690321,False
ct_lp,NB,NB,False,,NB-MLE,Overdispersion-adjusted,2.6021097620788853,0.0,0.2109144735135885,1.5955898222536837e-27,0.019402701626592238,predictor+int,3975.8573162574476,4126.495848372295,3982.6519846557103,3975.8573162574476,150.6385321148473,6.794668398262729,0.0,0.31302026524883414,0.07547425515462346,0.0,0.003807372075365401,0.024920432530863377,"{'reg1': np.float64(0.23572458106503133), 'reg2': np.float64(0.19402778407971147)}",0.1363837873838635,"{'reg1': np.float64(0.08146143305057521), 'reg2': np.float64(0.09187427333767548)}",0.060814111293095593,True,True,8,0.9987515605493134,True,801,False,"{'pct_zeros': np.float64(3.9950062421972534), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",4.0,NB-MLE,0.005330320905511561,True,0.06977721108641745,False
ct_st,NB,NB,False,,NB-MLE,Overdispersion-adjusted,2.606735990594835,0.0,0.22537901184416,6.309611011703487e-22,0.02341754891781665,predictor+int,3185.5359510042254,3268.8497587153374,3268.9931693469853,3185.5359510042254,83.31380771111208,83.45721834275992,0.0,1.143363600723829,0.08973962264035132,0.11014299639823011,5.1795949539869005e-12,0.0037583334607902506,"{'reg1': np.float64(-0.04811896073143369), 'reg2': np.float64(0.8206418018726225)}",-0.2390511517921176,"{'reg1': np.float64(0.07818920324303288), 'reg2': np.float64(0.11892384871373356)}",0.08249503974911863,True,True,9,1.1235955056179776,True,801,False,"{'pct_zeros': np.float64(30.337078651685395), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",30.3,NB-MLE,1.4502865871163323e-10,True,0.013154167112765878,True
ct_rb.sm,NB,NB,False,,NB-MLE,Overdispersion-adjusted,3.0912674548083627,0.0,1.4970579643599018,6.105131562569943e-21,0.15946215816969253,predictor+int,2133.6443998129016,2136.4712015558953,2137.2935109205077,2133.6443998129016,2.8268017429936663,3.6491111076061316,0.0,1.0545855749238453,0.1928247436998506,0.7771125449878924,0.01035860266002264,0.2554387686293539,"{'reg1': np.float64(0.6523260936838765), 'reg2': np.float64(-0.07591738329256592)}",-0.1619817079966755,"{'reg1': np.float64(0.25445477915274783), 'reg2': np.float64(0.24293815936353638)}",0.1424342973707939,True,False,17,2.1223470661672907,True,801,False,"{'pct_zeros': np.float64(57.05368289637952), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",57.1,NB-MLE,0.013183676112756088,True,0.42072267774246525,False
count_qr.*,NB,NB,False,,NB-MLE,Overdispersion-adjusted,3.6651333968233937,0.0,0.835446114729102,1.4449881092860667e-22,0.08546972814381802,predictor+int,2338.5295660027264,2461.7271390922506,2422.899316800139,2338.5295660027264,123.19757308952421,84.36975079741251,0.0,1.993908959481445,0.2055384706249637,1.3272146688336761e-06,3.70866432376186e-08,5.373116946161322e-07,"{'reg1': np.float64(0.07731358371133844), 'reg2': np.float64(1.3910940324110015)}",-0.9595210798368589,"{'reg1': np.float64(0.1520679410151972), 'reg2': np.float64(0.2527335855920464)}",0.19142617057487946,True,True,19,2.3720349563046192,True,801,False,"{'pct_zeros': np.float64(57.30337078651685), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",57.3,NB-MLE,3.461420035511069e-07,True,7.522363724625851e-06,True
has_iag-d,NB,NB,False,,NB-MLE,Overdispersion-adjusted,1.5550636785776166,0.0,0.042605226106031596,2.3533537323321786e-17,0.005027240435277664,predictor+int,4361.151387815067,4385.9666479050065,4381.5496748262885,4361.151387815067,24.81526008993933,20.398287011221328,0.0,0.8886375058985846,0.03960463565544172,0.00492566975231834,0.0033802356756292774,0.08754261804755796,"{'reg1': np.float64(0.123909271094218), 'reg2': np.float64(-0.11116496433951954)}",0.056645540479112,"{'reg1': np.float64(0.04227742447876928), 'reg2': np.float64(0.053488967379814026)}",0.03315502705738511,True,False,2,0.24968789013732834,True,801,False,"{'pct_zeros': np.float64(0.8739076154806492), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",0.9,NB-MLE,0.004981399943032619,True,0.1885533311793556,False
nt_co.us,NB,NB,False,,NB-MLE,Overdispersion-adjusted,2.001276619106801,0.0,0.35886087506208514,1.0513007554668105e-17,0.041882958071856734,predictor+int,2861.1969106260285,2869.393126288347,2869.799863186302,2861.1969106260285,8.196215662318536,8.60295256027348,0.0,1.238694687109944,0.10762249372427317,0.026562438386595666,0.0010618751317640835,0.1441077199610718,"{'reg1': np.float64(-0.3886894375978299), 'reg2': np.float64(-0.4383953569481298)}",-0.1175542226194287,"{'reg1': np.float64(0.12777692674351446), 'reg2': np.float64(0.13391850180257303)}",0.08047999835920135,True,False,13,1.6229712858926344,True,801,False,"{'pct_zeros': np.float64(23.595505617977526), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",23.6,NB-MLE,0.0016518057605219075,True,0.2882154399221436,False
ct_ei,NB,NB,False,,NB-MLE,Overdispersion-adjusted,2.8668459660261827,0.0,0.8086647837649094,2.915073062481042e-19,0.09013330235289498,predictor+int,2496.942155550014,2514.7692914833074,2499.684484099282,2496.942155550014,17.827135933293448,2.7423285492682226,0.0,1.619880840427298,0.1549456166718992,6.317276378453585e-05,0.04510635744326472,0.03393669164058414,"{'reg1': np.float64(-0.28396716326805455), 'reg2': np.float64(-0.134336872091114)}",-0.29963757572537963,"{'reg1': np.float64(0.1417241362848582), 'reg2': np.float64(0.22093398570184608)}",0.14128362480916598,True,True,15,1.8726591760299627,True,801,False,"{'pct_zeros': np.float64(55.430711610486895), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': np.False_}",55.4,NB-MLE,0.04677696327449675,True,0.08638430599421418,False
nt_nc,Poisson,Poisson,False,,HC3,Heteroscedasticity-robust,0.8424026754633742,0.9995428504958941,,,,predictor+int,3877.2681908723634,4061.887949350894,3889.50028141154,3877.2681908723634,184.61975847853046,12.232090539176625,0.0,1.1010621827510663,0.029114621776225744,0.0005181705651777779,6.141003154390849e-05,0.5262010362565068,"{'reg1': np.float64(0.07547775233007607), 'reg2': np.float64(0.1458941330935861)}",0.015850574025842203,"{'reg1': np.float64(0.0323232197039439), 'reg2': np.float64(0.036406852685771575)}",0.02500817091941269,True,False,7,0.8739076154806492,True,801,False,"{'pct_zeros': np.float64(0.6242197253433208), 'extreme_sparsity': np.False_, 'register_warnings': [], 'zero_inflated': False}",0.6,HC3,0.00013648028521583283,True,0.7317708889690321,False
