Variable,0-f,0-m,1-f,1-m,2-f,2-m
has_nag-i,b,a,a,a,a,a
has_nag-d,a,a,b,b,a,a
ct_lp,e,d,c,b,b,a
ct_st,a,a,a,a,a,a
ct_rb.sm,c,c,c,c,a,b
count_qr.*,b,a,a,a,a,a
has_iag-d,a,a,a,a,a,a
nt_co.us,b,b,b,b,a,b
ct_ei,a,a,a,a,b,b
nt_nc,a,a,a,a,a,a
has_iag-o,a,a,a,a,a,a
ct_ra,a,a,b,b,b,b
belief,a,a,a,a,a,a
ct_ho,a,a,a,a,a,a
nt_cg.pc,b,a,ab,ab,ab,ab
ct_sn,a,a,a,a,a,a
nt_co.er,a,a,b,b,b,b
ct_ea,c,c,c,c,a,b
has_nag-n,a,a,a,a,a,a
nt_cg.kc,a,a,a,a,a,a
ct_ms,a,a,a,a,a,a
nt_co.dr,a,a,a,a,a,a
has_iag-g,a,a,a,a,a,a
has_iag-i,a,a,a,a,a,a
ct_bs,a,a,a,a,b,b
nt_co.Q,a,a,a,a,a,a
nt_co.iq,a,a,a,a,a,a
ct_bn,b,a,b,b,b,b
ct_rb,a,a,a,a,b,b
nt_ta.lp,a,a,a,a,a,a
nt_cg.bo,a,a,b,b,b,b
nt_ta.ed,a,a,a,a,a,a
ct_cm,a,a,a,a,a,a
ct_rb.th,a,a,a,a,a,a
ct_rb.st,a,a,a,a,a,a
nt_co.ro,a,a,a,a,a,a
nt_cg.iv,a,a,a,a,a,a
nt_ta.wd,a,a,a,a,a,a
nt_cg.rc,a,a,a,a,a,a
